feature,correlation,mi_score,rf_importance
log_host_listings_count,0.15001588518854472,0.4782796560382603,0.08525996548575229
calculated_host_listings_count,0.2713113029995558,0.4729889078879439,0.07944170153056165
room_type_Private room,,0.18978982943571587,0.2949255567039509
minimum_nights,-0.0849464383767421,0.13429568849399365,0.04524035603992359
log_minimum_nights,-0.19958888803887734,0.1311717883960024,0.04331257648507074
minimum_nights_capped,-0.16044388934124285,0.12349074848519681,0.046286961740688845
availability_365,0.03863979961307499,0.10586262125068302,0.09682974248453041
neighbourhood_group_Manhattan,,0.08875091345374475,0.043319909654305294
days_since_last_review,-0.010849629666522219,0.07247649808573708,0.03593368529212337
reviews_per_month,0.03477160358957941,0.06912137598869617,0.02735316179339959
log_reviews_per_month,0.05071065580359689,0.06733502879935305,0.027004608997356266
log_days_since_last_review,-0.01929691382670178,0.06616414488454758,0.035052187818657966
host_listings_bin_21+,,0.06327361595593395,
log_number_of_reviews,-0.07428288182095641,0.0631461955155963,0.020817864094777587
number_of_reviews,-0.02673149409976772,0.060335920203216986,0.020720709761545778
log_number_of_reviews_ltm,0.021216525137258337,,0.018305076605449628
min_nights_gt_30,0.24969677923669356,,
number_of_reviews_ltm,0.03642026507402878,,
