neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Brooklyn,Kensington,Private room,260.0,30,9,0.08,6,365,0,2479.0,5.5645204
Manhattan,Midtown,Entire home/apt,240.0,30,47,0.25,3,365,0,1138.0,5.484797
Brooklyn,Williamsburg,Entire home/apt,98.0,30,195,0.99,1,1,3,54.0,4.59512
Manhattan,East Harlem,Private room,74.0,30,249,1.3,1,288,6,67.0,4.317488
Brooklyn,Fort Greene,Private room,214.0,2,416,2.2,2,8,38,12.0,5.370638
Brooklyn,Williamsburg,Entire home/apt,345.0,30,12,0.06,1,0,0,367.0,5.846439
Brooklyn,Bedford-Stuyvesant,Entire home/apt,170.0,30,189,0.97,2,246,0,656.0,5.1416636
Manhattan,Hell's Kitchen,Entire home/apt,175.0,30,58,0.3,1,57,0,2911.0,5.170484
Brooklyn,Bedford-Stuyvesant,Private room,90.0,30,82,0.44,6,183,2,124.0,4.5108595
Brooklyn,Bedford-Stuyvesant,Entire home/apt,153.0,30,80,0.42,1,327,4,63.0,5.0369525
Brooklyn,Greenpoint,Entire home/apt,162.0,30,176,0.92,1,240,1,306.0,5.09375
Manhattan,Lower East Side,Entire home/apt,180.0,30,42,0.29,1,241,4,32.0,5.198497
Brooklyn,Clinton Hill,Private room,57.0,30,32,0.17,1,249,0,589.0,4.060443
Manhattan,East Village,Private room,138.0,1,651,4.48,2,195,70,15.0,4.934474
Manhattan,East Village,Private room,164.0,1,270,1.71,2,18,58,12.0,5.1059456
Manhattan,East Harlem,Entire home/apt,300.0,30,291,1.53,1,210,0,697.0,5.7071104
Manhattan,East Village,Entire home/apt,215.0,30,53,0.28,1,163,0,422.0,5.3752785
Manhattan,Upper East Side,Private room,70.0,30,146,0.87,1,357,0,2162.0,4.26268
Manhattan,Chelsea,Private room,150.0,30,250,1.43,1,329,3,260.0,5.0172796
Manhattan,West Village,Entire home/apt,200.0,90,68,0.37,1,322,1,218.0,5.303305
Brooklyn,Williamsburg,Entire home/apt,95.0,30,59,0.31,1,245,0,2561.0,4.564348
Manhattan,Chelsea,Private room,85.0,30,36,0.19,2,351,0,2022.0,4.454347
Manhattan,Harlem,Entire home/apt,200.0,30,214,1.15,1,1,0,2238.0,5.303305
Brooklyn,Park Slope,Entire home/apt,201.0,30,93,0.5,1,355,2,277.0,5.3082676
Brooklyn,South Slope,Entire home/apt,90.0,30,478,2.59,3,43,0,1159.0,4.5108595
Manhattan,East Village,Entire home/apt,100.0,30,25,0.14,1,1,0,4984.0,4.6151204
Brooklyn,Bedford-Stuyvesant,Private room,90.0,30,76,0.42,6,204,3,80.0,4.5108595
Brooklyn,Clinton Hill,Private room,151.0,3,477,2.58,1,77,55,11.0,5.0238805
Manhattan,Hell's Kitchen,Entire home/apt,250.0,30,75,0.41,4,346,0,573.0,5.525453
Brooklyn,Clinton Hill,Private room,120.0,2,610,3.32,2,278,25,8.0,4.7957907
Brooklyn,Williamsburg,Entire home/apt,195.0,30,299,1.63,1,265,2,124.0,5.278115
Brooklyn,Boerum Hill,Private room,765.0,3,43,0.27,1,365,0,703.0,6.641182
Manhattan,Harlem,Private room,231.0,2,260,1.43,1,93,41,15.0,5.4467373
Brooklyn,Williamsburg,Private room,147.0,4,282,1.54,2,39,15,67.0,4.9972124
Manhattan,Lower East Side,Entire home/apt,563.0,30,70,0.38,1,162,1,336.0,6.3350544
Brooklyn,Carroll Gardens,Private room,185.0,30,219,1.21,4,364,0,639.0,5.2257466
Manhattan,Midtown,Entire home/apt,170.0,31,4,0.04,1,306,0,2660.0,5.1416636
Brooklyn,Fort Greene,Private room,110.0,30,230,1.27,2,365,0,1062.0,4.7095304
Queens,Ridgewood,Entire home/apt,534.0,30,13,0.08,10,365,0,2090.0,6.2822666
Bronx,Mott Haven,Private room,60.0,30,0,0.47,1,263,0,167.0,4.1108737
Manhattan,Morningside Heights,Private room,99.0,30,136,0.77,2,253,3,32.0,4.6051702
Brooklyn,Park Slope,Private room,85.0,30,76,0.42,3,250,6,6.0,4.454347
Brooklyn,Bedford-Stuyvesant,Private room,95.0,30,29,0.17,6,79,2,42.0,4.564348
Queens,Ditmars Steinway,Private room,176.0,3,119,0.67,1,3,32,33.0,5.17615
Queens,Middle Village,Entire home/apt,117.0,30,33,0.18,10,365,0,3738.0,4.7706847
Queens,Ridgewood,Entire home/apt,283.0,30,5,0.03,10,365,0,3718.0,5.6489744
Queens,Middle Village,Entire home/apt,298.0,30,16,0.09,10,363,0,2185.0,5.7004437
Brooklyn,Bedford-Stuyvesant,Private room,252.0,2,294,1.75,1,354,14,56.0,5.5333896
Brooklyn,Greenpoint,Entire home/apt,400.0,1,36,0.22,29,121,0,385.0,5.9939613
Brooklyn,Bushwick,Private room,95.0,30,41,0.26,1,364,0,2893.0,4.564348
Brooklyn,Bedford-Stuyvesant,Private room,99.0,30,7,0.04,4,365,0,2491.0,4.6051702
Manhattan,Upper West Side,Private room,115.0,30,209,1.25,1,320,1,285.0,4.75359
Brooklyn,Sunset Park,Private room,180.0,3,22,0.13,1,345,7,38.0,5.198497
Brooklyn,Greenpoint,Entire home/apt,400.0,1,48,0.33,29,121,0,1057.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,31,0.21,29,121,0,398.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,480.0,1,100,0.61,29,120,2,290.0,6.175867
Brooklyn,Greenpoint,Entire home/apt,400.0,1,49,0.29,29,118,4,90.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,43,0.26,29,120,0,482.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,49,0.3,29,121,0,965.0,5.9939613
Brooklyn,Greenpoint,Entire home/apt,400.0,1,73,0.44,29,120,2,334.0,5.9939613
Brooklyn,Greenpoint,Private room,381.0,1,12,0.07,29,77,0,965.0,5.9454207
Brooklyn,Greenpoint,Private room,400.0,1,9,0.05,29,119,1,97.0,5.9939613
Brooklyn,Greenpoint,Private room,389.0,1,14,0.11,29,0,0,475.0,5.966147
Brooklyn,Greenpoint,Hotel room,334.0,1,34,0.22,29,111,1,41.0,5.814131
Brooklyn,Greenpoint,Private room,590.0,1,5,0.03,29,0,0,3933.0,6.381816
Brooklyn,Williamsburg,Private room,82.0,30,51,0.46,2,151,3,197.0,4.4188404
Brooklyn,Bedford-Stuyvesant,Entire home/apt,220.0,4,302,1.81,1,260,31,10.0,5.398163
Manhattan,Nolita,Entire home/apt,495.0,30,26,0.16,2,328,0,427.0,6.206576
Brooklyn,Bedford-Stuyvesant,Entire home/apt,193.0,30,43,0.26,1,154,3,35.0,5.267858
Manhattan,Tribeca,Entire home/apt,222.0,30,35,0.21,1,354,0,683.0,5.4071717
Manhattan,Harlem,Entire home/apt,125.0,30,0,0.47,1,53,0,167.0,4.836282
Manhattan,Upper West Side,Entire home/apt,249.0,30,246,1.49,1,109,3,45.0,5.521461
Manhattan,Lower East Side,Entire home/apt,170.0,30,83,0.51,2,310,2,220.0,5.1416636
Manhattan,Financial District,Private room,75.0,115,14,0.1,1,131,2,93.0,4.3307333
Brooklyn,Kensington,Private room,65.0,30,63,0.52,1,222,5,33.0,4.189655
Manhattan,Harlem,Private room,172.0,30,0,0.47,1,365,0,167.0,5.1532917
Brooklyn,Park Slope,Private room,92.0,3,212,1.18,3,228,34,26.0,4.5325994
Manhattan,East Harlem,Private room,125.0,30,305,1.69,1,332,3,35.0,4.836282
Brooklyn,Williamsburg,Private room,145.0,4,124,0.85,2,76,16,60.0,4.983607
Queens,Ditmars Steinway,Entire home/apt,99.0,30,167,0.93,1,321,4,28.0,4.6051702
Brooklyn,Brooklyn Heights,Private room,292.0,30,295,1.65,1,180,0,633.0,5.6801724
